nombre,pais,api_id,api_source
Federico Fellini,,Federico Fellini,wikipedia
Fran Walsh,,Fran Walsh,wikipedia
Oliver Sacks,London,Oliver Sacks,wikipedia
Randall Munroe,,Randall Munroe,wikipedia
Mercedes Ron,,Mercedes Ron,wikipedia
Rich Tennant,Future Shock,The 5th Wave (comic strip),wikipedia
Maggie Stiefvater. Published,American,Maggie Stiefvater,wikipedia
Will Fetters. It,,Fetter (Buddhism),wikipedia
R. J. Cutler,,R. J. Cutler,wikipedia
Dana Gould,,Dana Gould,wikipedia
Bloomsbury Publishing,,Bloomsbury Publishing,wikipedia
Kristoffer Borgli,,Kristoffer Borgli,wikipedia
Lily Phillips,,Lily Phillips,wikipedia
Warner Bros.,its predecessors,Warner Bros. Discovery,wikipedia
Suzanne Collins,American,Suzanne Collins,wikipedia
Diana Gabaldon,American,Diana Gabaldon,wikipedia
Steve Kloves,,Steve Kloves,wikipedia
Tappei Nagatsuki,Japanese,Tappei Nagatsuki,wikipedia
Studs Terkel,,Studs Terkel,wikipedia
Nick Hornby,English,Nick Hornby,wikipedia
Maria Semple,American,Maria Semple,wikipedia
Stephenie Meyer,American,Stephenie Meyer,wikipedia
Peter Greenaway,,Peter Greenaway,wikipedia
James Dashner. It,American,James Dashner,wikipedia
Christian Petzold,,Christian Petzold (director),wikipedia
Peter Straughan,,Peter Straughan,wikipedia
Philip Noyce,,Phillip Noyce,wikipedia
Maharishi Mahesh Yogi,the millions,Maharishi Mahesh Yogi,wikipedia
Michael Petroni,,Michael Petroni,wikipedia
Spike Lee,the Film,Spike Lee,wikipedia
Carl Jung,psychoanalysis,Carl Jung,wikipedia
Sadako Sasaki,,Sadako Sasaki,wikipedia
Jenji Kohan,,Jenji Kohan,wikipedia
Benny Andersson,,Benny Andersson,wikipedia
Kate Atkinson,English,Kate Atkinson (writer),wikipedia
Sheryl Sandberg,Harvard University,Sheryl Sandberg,wikipedia
Roger Nygard,the American,Roger Nygard,wikipedia
Ross Macdonald,,Ross Macdonald,wikipedia
Paul Adams,,Paul Adams,wikipedia
Melissa Rosenberg,,Melissa Rosenberg,wikipedia
Sir Henry Irving,the West,Henry Irving,wikipedia
Robert Reading,Charles II,Robert Reading,wikipedia
Gilles Paquet-Brenner,,Gilles Paquet-Brenner,wikipedia
Richard LaGravenese,,Richard LaGravenese,wikipedia
Marvel Studios Animation,,Marvel Studios Animation,wikipedia
Hayao Miyazaki,Tokyo City,Hayao Miyazaki,wikipedia
Bill Kennedy. The,,Bill Kennedy,wikipedia
Tahereh Mafi,,Tahereh Mafi,wikipedia
Yeon Sang-ho. Based,,Yeon Sang-ho,wikipedia
Steve Purcell,,Steve Purcell,wikipedia
Moira Buffini,English,Moira Buffini,wikipedia
Garrett Fort,,Garrett Fort,wikipedia
Polydor Records,,Polydor Records,wikipedia
John Jackson Miller,,John Jackson Miller,wikipedia
Jonathan Tropper,American,Jonathan Tropper,wikipedia
Penguin Books,,Penguin Books,wikipedia
Gnome Press,fan,Gnome Press,wikipedia
Douglas Adams,Cambridge and,Douglas Adams,wikipedia
Steven Spielberg,Cincinnati,Steven Spielberg,wikipedia
Denis Villeneuve,,Denis Villeneuve,wikipedia
Tony Parker,,Tony Parker,wikipedia
Arnon Milchan,the mid,Arnon Milchan,wikipedia
Brian Powell,,Brian Powell,wikipedia
Buzz Bissinger,,Buzz Bissinger,wikipedia
Phil Johnston,,Phil Johnston,wikipedia
Shawn Ku,those experiences,Shawn Ku,wikipedia
Orson Welles,Hollywood studios,Orson Welles,wikipedia
Keith Gordon,,Keith Gordon,wikipedia
Lucille La Verne,,Lucille La Verne,wikipedia
George Otto Gey,Henrietta Lacks,George Otto Gey,wikipedia
Karen Kingsbury,Fairfax,Karen Kingsbury,wikipedia
The Heatmakerz,,The Heatmakerz,wikipedia
Elizabeth Wein,,Elizabeth E. Wein,wikipedia
Joko Anwar,,Joko Anwar,wikipedia
Jacques Demy,film to,Jacques Demy,wikipedia
Beacon Press,,Beacon Press,wikipedia
James Cameron,,James Cameron,wikipedia
Alfonso Cuar,,,NO_ENCONTRADO
Brian Duffield,,Brian Duffield,wikipedia
Donovan Winter,,Donovan Winter,wikipedia
Stuart Beattie,Melbourne and,Stuart Beattie,wikipedia
Roy Lichtenstein,institutions,Roy Lichtenstein,wikipedia
David McCullough,Yale University,David McCullough,wikipedia
A.C. Clayton,,Joy of Cooking,wikipedia
Bad Wolf,,Big Bad Wolf,wikipedia
Richard Dawkins,,Richard Dawkins,wikipedia
Joe Wright,,Joe Wright,wikipedia
C. S. Lewis,his faith,C. S. Lewis,wikipedia
Obie Award-winning,,Obie Award,wikipedia
Portia Rosenberg,,Jonathan Strange & Mr Norrell,wikipedia
Jennifer Iacopelli,the novel,Finding Her Edge,wikipedia
George R. R. Martin,American,George R. R. Martin,wikipedia
John Howe,,John Howe,wikipedia
Stieg Larsson,,Stieg Larsson,wikipedia
Philip Larkin,Oxford in,Philip Larkin,wikipedia
J. D. Salinger,,J. D. Salinger,wikipedia
Brian Bird,,Brian Bird,wikipedia
Sandra Bullock,,Sandra Bullock,wikipedia
Rod Serling,,Rod Serling,wikipedia
Gilles Paquet-Brenner. The,,Gilles Paquet-Brenner,wikipedia
John Grisham. It,American,John Grisham,wikipedia
M. L. West,material in,Martin Litchfield West,wikipedia
